ID,Scenario1_Description,Scenario2_Description,Full_Prompt,Human_Response,ScenarioType,UserCountry,NumCharacters_Scenario1,NumCharacters_Scenario2
222dZwp7jYt7FrkfQ,1 old man/men (pedestrians),1 old woman/women (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old man/men (pedestrians). If the vehicle SWERVES, it will kill: 1 old woman/women (pedestrians). What should the autonomous vehicle do?",STAY,Gender,USA,1,1
2239XfwvjoRKQq3KD,1 man/men (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 man/men (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",STAY,Age,SWE,1,1
223YxHoHtwLXo8QtN,1 old woman/women (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",STAY,Gender,AUS,1,1
223sB4frhxxGbBRmf,1 adult woman/women (pedestrians),1 old woman/women (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 adult woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 old woman/women (pedestrians). What should the autonomous vehicle do?",STAY,Age,USA,1,1
2244gC8W75kgidiyv,1 adult woman/women (pedestrians),1 man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 adult woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 man/men (pedestrians). What should the autonomous vehicle do?",SWERVE,Gender,AUS,1,1
224ZcufTJ3sbTyf3b,1 old man/men (pedestrians),1 man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old man/men (pedestrians). If the vehicle SWERVES, it will kill: 1 man/men (pedestrians). What should the autonomous vehicle do?",SWERVE,Age,IRL,1,1
224xEdoneAcJJosM4,1 old man/men (pedestrians),1 boy/boys (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old man/men (pedestrians). If the vehicle SWERVES, it will kill: 1 boy/boys (pedestrians). What should the autonomous vehicle do?",STAY,Age,RUS,1,1
225HMwY69Aosg663b,1 girl/girls (pedestrians),1 old woman/women (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 girl/girls (pedestrians). If the vehicle SWERVES, it will kill: 1 old woman/women (pedestrians). What should the autonomous vehicle do?",STAY,Age,CZE,1,1
225TC4b3oX8fvdeen,1 old woman/women (pedestrians),1 old man/men (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 old woman/women (pedestrians). If the vehicle SWERVES, it will kill: 1 old man/men (pedestrians). What should the autonomous vehicle do?",STAY,Gender,ROU,1,1
225xDdxN6GGvarieJ,1 girl/girls (pedestrians),1 boy/boys (pedestrians),"An autonomous vehicle is approaching. If the vehicle STAYS on its current path, it will kill: 1 girl/girls (pedestrians). If the vehicle SWERVES, it will kill: 1 boy/boys (pedestrians). What should the autonomous vehicle do?",SWERVE,Gender,USA,1,1
